,countries,stance
636,AU/SG/PE/JP,oppose
637,AU/SG/PE/CA/JP,oppose
638,SG/MX/BN/MY/VN,oppose
639,VN,oppose
640,US,propose
641,AU/BN/MY/NZ/SG/CL/VN/PE/CA/MX/JP,oppose
642,NZ/AU/BN/MY/US/CA/SG/MX/JP,propose
643,PE/CL/VN,oppose
644,US,propose
645,CA/JP,oppose
646,AU/NZ/SG/MY,none
647,CA/US,propose
648,PE/VN/BN/MX/CL,oppose
649,US/CA,propose
650,US/CA,oppose
651,SG/NZ/CL,oppose
652,SG/NZ/CL/JP,none
653,US/CA,oppose
654,US/CA,propose
655,MY,none
656,US,propose
657,CA/JP,oppose
658,US/CA,propose
659,JP,propose
660,US/CA,oppose
661,CA,oppose
662,CA/JP,propose
663,VN,propose
664,MY,oppose
665,VN,oppose
666,VN,oppose
667,CA/VN/MX,propose
668,CA/VN/MX,oppose
669,CL/PE/VN/BN/SG/AU/CA/MX/JP,oppose
670,MY,oppose
671,MY/SG/CL/AU/PE/MX/VN/JP,none
672,US/NZ,propose
673,BN/SG/MY/CL/PE/AU/VN/CA/MX/JP,oppose
674,US/NZ/PE/SG/BN/CL/AU/MY/CA/MX,propose
675,VN/JP,oppose
676,CL,propose
677,US/MX/CA/NZ/JP,propose
678,SG/MY/PE/VN/CL/AU/BN,oppose
679,CL/MX,propose
680,VN,propose
681,CL,none
682,CL/JP,oppose
683,CL,oppose
684,CL,propose
685,CL/VN/SG/PE/CA/MX,oppose
686,US/AU/NZ/PE/MY/SG/MX/VN/CA/CL,propose
687,BN/JP,oppose
688,VN,oppose
689,CA,propose
690,CL,oppose
691,PE/SG/MX/VN/CL/CA,oppose
692,PE/SG/MX/VN/CL/CA,oppose
693,US/AU/PE/NZ/MX/CL,propose
694,MY/BN/VN/CA,oppose
695,CL/MX,oppose
696,US/AU/CA/SG/NZ/PE,propose
697,VN,oppose
698,US/AU/CA/MY/VN/MX,propose
699,US/AU/CA/MX,propose
700,SG/CL/PE/NZ/MY/BN/VN,oppose
701,PE/CA,oppose
702,PE/CA,propose
703,PE/CL/BN/SG/NZ/MY/VN,oppose
704,US,propose
705,CL/BN/NZ/MY/VN/CA/SG/MX,propose
706,AU/US,oppose
707,CA,propose
708,CA,propose
709,CL/BN/NZ/VN/MX,propose
710,AU/US/SG/MY,oppose
711,CA,oppose
712,CA/CL/VN,propose
713,NZ/MX,oppose
714,CA/NZ/CL/VN/MX,propose
715,CA/CL/MX,oppose
716,CA/NZ/CL/VN,propose
717,CA,propose
718,CA/CL/VN,propose
719,CA,oppose
720,CA,propose
721,CA,propose
722,US/AU/SG/NZ/PE,propose
723,BN/VN/CA/MX,oppose
724,SG/MY,oppose
725,MY/VN,oppose
726,MY/NZ/SG,propose
727,NZ/MY/VN,oppose
728,PE,propose
729,MY/VN,oppose
730,NZ,oppose
731,CL,propose
732,MY,oppose
733,CL,oppose
734,CL/MY,oppose
735,NZ,propose
736,CL,oppose
737,CL,propose
738,MY,oppose
739,MY,oppose
740,NZ,oppose
741,MY/NZ,oppose
742,NZ/MY,oppose
743,NZ,oppose
744,MY,oppose
745,CL,propose
746,CL,propose
747,NZ,oppose
748,CL,propose
749,NZ,oppose
750,CL,oppose
751,CL,propose
752,NZ,oppose
753,NZ,oppose
754,SG,propose
755,SG/AU,oppose
756,SG/AU,propose
757,SG/AU,propose
758,SG/AU,propose
759,CL,propose
